,name_en,code,cons_abbr,name_cn,brightness,misc,top20,commonly_used
0,Acamar,q,Eri,天園六,2.91,,no,yes
1,Achernar,a,Eri,水委一,0.46,,yes,yes
2,Achird,h,Cas,王良三,3.6,d,no,no
3,Acrab,b,Sco,房宿四,2.55,d,no,no
4,Acrux,a,Cru,十字架二,0.79,d,yes,yes
5,Acubens,a,Cnc,柳宿增三,4.3,,no,yes
6,Adara,e,CMa,弧矢七,1.5,,no,no
7,Adhafera,x,Leo,軒轅十一,3.6,,no,yes
8,Adhara,e,CMa,弧矢七,1.5,,no,yes
9,Adhil,n,And,奎宿七,4.2,,no,no
10,Agena,b,Cen,馬腹一,0.61,,no,no
11,Ain,e,Tau,畢宿一,3.6,,no,no
12,Ain al Rami,m1,Sgr,斗宿三,4.8,,no,no
13,Ak,a,UMa,"天樞, 北
斗一",1.79,,no,no
14,Al Anchat al Nahr,t2,Eri,天苑九,4.8,,no,no
15,Al Anf,e,Peg,危宿三,2.39,d ,no,no
16,Al Anz,e,Aur,柱一(畢宿),2.99,v,no,no
17,Al Athfar,m,Lyr,織女增三,5.1,,no,no
18,Al Atik,o,Per ,卷舌增七,3.8,,no,no
19,Al Baldah,p,Sgr,建三,2.89,,no,no
20,Al Bali,e,Aqr,女宿一,3.8,,no,no
21,Al Chiba,a,Crv,右轄,4,,no,no
22,Al Dhanab,b,Gru,鶴二,2.1,,no,no
23,Al Dhanab,g,Gru,敗臼一,3.01,,no,no
24,Al Dhiba,i,Dra,"左樞  ,  
紫微左垣一",3.3,,no,no
25,Al Dhihi,i,Dra,"左
樞  ,  紫微左垣一",3.3,,no,no
26,Al Dibah,x,Dra,"上弼  ,  
紫微左垣四",3.2,,no,no
27,Al Gieba,g,Leo,軒轅十二,1.9,d,no,no
28,Al Giedi,a,Cap ,牛宿二,3.6,d,no,no
29,Al Hammam,x,Peg,雷電一,3.4,,no,no
30,"Al      
        Kaff al Jidmah",g,Cet,天囷八,3.5,d,no,no
31,Al Kalb al Asad,a,Leo,軒轅十四,1.35,d,no,no
32,"Al      
        Kalb al Rai",r,Cep,芻��一,5.5,,no,no
33,Al Kaphrah,c,UMa,太陽守,3.7,,no,no
34,Al Kirduh,x,Cep,天鉤六,4.3,d,no,no
35,Al Mankib,a,Ori,參宿四,0.5,v,no,no
36,Al Minliar al Asad,k,Leo,軒轅七,4.5,,no,no
37,Al Minliar al Ghurab,a,Crv,右轄,4,,no,no
38,Al Minliar al Shuja,s,Hya,柳宿二,4.4,,no,no
39,Al Mizar,b,And,奎宿九,2.06,,no,no
40,Al Na'ir,a,Gru,鶴一,1.74,,no,yes
41,Al Nair,a,Gru,鶴一,1.74,,no,no
42,Al Nasl,g,Sgr,箕宿一,2.99,,no,no
43,Al Nath,g,Dra,天棓四,2.23,,no,no
44,Al Niyat,s,Sco,心宿一,2.89,,no,no
45,Al Niyat,t,Sco,心宿三,2.82,,no,no
46,Al Rakis,n,Dra,天棓二,5,d,no,no
47,Al Rescha,a,Psc,外屏七,4.3,d,no,no
48,Al Richa,a,Psc,外屏七,4.3,d,no,no
49,Al Rijil,a,Cen,南門二,-0.27,d,no,no
50,Al Rischa,a,Psc,外屏七,4.3,d,no,no
51,Al Rukbah al Dajajah,w2,Cyg,"天津增三
十四",5.4,,no,no
52,Al Sanam al Nakah,b,Cas,王良一,2.27,,no,no
53,Al Sheratain,b,Ari,婁宿一,2.64,,no,no
54,Al Suhail al Muhlif,g,Vel,天社一,1.8,,no,no
55,Al Suhail al Wazn,l,Vel,天記,2.21,,no,no
56,Al Tarf,b,Cnc,柳宿增十,3.5,,no,no
57,Al Tinnin,a,Dra,"右
樞  ,  紫微右垣一",3.7,,no,no
58,Aladfar,h,Lyr,輦道二,4.4,,no,no
59,Aladfar,m,Lyr,織女增三,5.1,,no,no
60,Alamak,g,And,天大將軍一,2.26,d,no,no
61,Alanf,e,Peg,危宿三,2.39,d,no,no
62,Alanz,e,Aur,柱一(畢宿),2.99,v,no,no
63,Alaraph,a,Vir,角宿一,0.98,,no,no
64,Alaraph,b,Vir,"右執法,太微右垣一",3.6,,no,no
65,Alaraph,e,Vir,"東次將,太微左垣四",2.83,,no,no
66,Alascha,l,Sco,尾宿八,1.63,,no,no
67,Alasco,h,UMi,勾陳增九,5,,no,no
68,Alathfar,m,Lyr,織女增三,5.1,,no,no
69,Albaldah,p,Sgr,建三,2.89,,no,no
70,Albali,e,Aqr,女宿一,3.8,,no,yes
71,Albereo,b,Cyg,輦道增七,3.08,d,no,no
72,Albireo,b,Cyg,輦道增七,3.08,d,no,yes
73,Albireor,b,Cyg,輦道增七,3.08,d,no,no
74,Alcaid,h,UMa,"搖光,北斗七",1.86,,no,no
75,Alchiba,a,Crv,右轄,4,,no,yes
76,Alchita,a,Crv,右轄,4,,no,no
77,Alcor,80,UMa,開陽增一,4,,no,yes
78,Alcyone,h,Tau,昴宿六,2.87,,no,yes
79,Alcyone,x,Tau,天關,3,,no,no
